rank,word,definition,used_count,used_pct
136,"αἰών, -ῶνος, ὁ ","an age, eternity",122,0.09
137,"ἀρχιερεύς, -έως, ὁ ",high priest,122,0.09
138,βάλλω ,to throw,122,0.09
139,"θάνατος, -ου, ὁ ",death,120,0.09
140,"δύναμις, -εως, ἡ ","power, miracle; ability",119,0.09
141,παραδίδωμι ,"to give over; deliver up, arrest; betray",119,0.09
142,μένω ,"to remain, stay",118,0.09
143,ἀπέρχομαι,"to go away, depart",117,0.09
144,ζητέω,to seek,117,0.09
145,"ἀγάπη, -ης, ἡ ",love,116,0.09
146,"βασιλεύς, -έως, ὁ ",king,115,0.08
147,"ἐκκλησία, -ας, ἡ ","church, assembly, gathering",114,0.08
148,"ἴδιος, -α, -ον ",one’s own,114,0.08
149,κρίνω,judge; condemn; determine,114,0.08
150,"μόνος, -η, -ον ",only,114,0.08
151,"οἶκος, -ου, ὁ ","house, home",114,0.08
152,ἀποθνῄσκω,to die,111,0.08
153,"ὅσος, -η, -ον ","as much as, how much",110,0.08
154,"ἀλήθεια, -ας, ἡ ",truth,109,0.08
155,μέλλω ,"to be going to, am about to",109,0.08
156,"ὅλος, -η, -ον ","whole, all, complete, entire",109,0.08
157,παρακαλέω ,"to beg, encourage, request, comfort",109,0.08
158,ἀνίστημι,"to raise; appoint; (intran) rise, stand up, appear",108,0.08
159,σῴζω ,"to save, heal, rescue",106,0.08
160,"ὥρα, -ας, ἡ ","hour, moment, time",106,0.08
161,ὅτε,when,103,0.08
162,πῶς,how?,103,0.08
163,"ψυχή, -ῆς, ἡ ","life (-force), soul, self, person",103,0.08
164,"ἐξουσία, -ας, ἡ ","authority, right",102,0.07
165,"καλός, -ή, -όν ","good, beautiful",102,0.07
166,αἴρω,"to take (up / away), raise",101,0.07
167,δεῖ ,it is necessary,101,0.07
168,"ὁδός, -οῦ, ἡ ","way, path, road",101,0.07
169,"ἀλλήλων, -ους, -ους ",(reciprocal pronoun) of one another,100,0.07
170,"ὀφθαλμός, -οῦ, ὁ ",eye,100,0.07
171,τίθημι,"to put, place",100,0.07
172,"τέκνον, -ου, τό ",child,99,0.07
173,"ἕτερος, -α, -ον ",other,98,0.07
174,"Φαρισαῖος, -ου, ὁ ",Pharisee,98,0.07
175,"ἄρτος, -ου, ὁ ","bread, loaf",97,0.07
176,"αἷμα, -τος, τό ",blood,97,0.07
177,διδάσκω ,to teach,97,0.07
178,γεννάω ,"to become parent of, beget, give birth to",97,0.07
179,ἐκεῖ ,there,95,0.07
180,φοβέομαι ,fear; reverence,95,0.07
181,περιπατέω ,"walk, go about; live",95,0.07
182,ἐνώπιον ,"(Gen) before, in the presence of",94,0.07
183,"τόπος, -ου, ὁ",place,94,0.07
184,ἔτι ,"yet, still",93,0.07
185,"οἰκία, -ας, ἡ ","house, household",93,0.07
186,"πούς, ποδός, ὁ ",foot,93,0.07
187,"δικαιοσύνη, -ης, ἡ ","righteousness, justice",92,0.07
188,"εἰρήνη, -ης, ἡ ",peace,92,0.07
189,κάθημαι,to sit,91,0.07
190,"θάλασσα, -ης, ἡ ",sea; lake,91,0.07
191,ἀκολουθέω,to follow,90,0.07
192,ἀπόλλυμι,to destroy; (mid) perish,90,0.07
193,πίπτω,to fall,90,0.07
194,"μηδείς, μηδεμία, μηδέν",no one / thing,89,0.06
195,ἑπτά ,seven,88,0.06
196,οὔτε,"not, no, nor",87,0.06
197,ἄρχω ,to rule; (mid) begin,86,0.06
198,πληρόω ,"fill, fulfill",86,0.06
199,προσέρχομαι ,to come / go to,86,0.06
200,"καιρός, -οῦ, ὁ ","(proper) time, season",85,0.06
201,προσεύχομαι ,to pray,85,0.06
202,καί+ἐγώ = κἀγὼ,and I,84,0.06
203,"μήτηρ, -τρος, ἡ ",mother,83,0.06
204,ὥστε,"so that, that",83,0.06
205,ἀναβαίνω ,"to go up, ascend",82,0.06
206,"ἕκαστος, -η, -ον ",each,82,0.06
207,ὅπου ,where,82,0.06
208,ἐκβάλλω ,to throw / cast out,81,0.06
209,καταβαίνω ,"to go down, descend",81,0.06
210,μᾶλλον ,"more, rather",81,0.06
211,"ἀπόστολος, -ου, ὁ ",apostle,80,0.06
212,"Μωϋσῆς, -έως, ὁ ",Moses,80,0.06
213,"δίκαιος, -α, -ον ","righteous, just",79,0.06
214,πέμπω ,to send,79,0.06
215,ὑπάγω,"to go, go away, go back",79,0.06
216,"πονηρός, -ά, -όν ","evil, wicked",78,0.06
217,"στόμα, -τος, τό ",mouth,78,0.06
218,ἀνοίγω,to open,77,0.06
219,βαπτίζω ,to baptize,77,0.06
220,"Ἰερουσαλήμ, ἡ",Jerusalem,77,0.06
221,"σημεῖον, -ου, τό ",(miraculous) sign,77,0.06
222,"εὐαγγέλιον, -ου, -ν ","good news, Gospel",76,0.06
223,μαρτυρέω ,"to witness, testify",76,0.06
224,"πρόσωπον, -ου, τό ",face,76,0.06
225,"ὕδωρ, ὕδατος, τό ",water,76,0.06
226,δώδεκα ,twelve,75,0.05
227,"κεφαλή, -ῆς, ἡ ",head,75,0.05
228,"Σίμων, -ωνος, ὁ ",Simon,75,0.05
229,ἀποκτείνω,to kill,74,0.05
230,χαίρω ,to rejoice,74,0.05
231,"ἐμός, -ή, -όν ","(possessive adjective) my, mine",74,0.05
232,"Ἀβραάμ, ὁ",Abraham,73,0.05
233,"φῶς, -φωτός, τό ",light,73,0.05
234,πίνω,to drink,73,0.05
235,"ἱερόν, -οῦ, τό ",temple,72,0.05
236,"αἰώνιος, -ον ",eternal,71,0.05
237,"πῦρ, -ός, τό ",fire,71,0.05
238,αἰτέω,"to ask, request",70,0.05
239,τηρέω,"to keep, observe, guard",70,0.05
240,ἄγω,"to lead, bring, go",69,0.05
241,"τρεῖς, -τρία ",three,69,0.05
242,"Ἰσραήλ, ὁ ",Israel,68,0.05
243,"ῥῆμα, -τος, τό ","word, saying, matter",68,0.05
244,"σάββατον, -ου, τό ",Sabbath; (pl) week,68,0.05
245,"ἐντολή, -ῆς, ἡ ",command,67,0.05
246,"πιστός, -ή, -όν ","faithful, trustworthy, believing",67,0.05
247,"πλοῖον, -ου, τό ",boat,67,0.05
248,ἀπολύω,"to release, set free, dismiss",66,0.05
249,φέρω ,"to bring, carry",66,0.05
250,φημί ,to say,66,0.05
251,"καρπός, -οῦ, ὁ ",fruit,66,0.05
252,"πρεσβύτερος, -α, -ον ",elder,66,0.05
253,εἴτε,"if, whether",65,0.05
254,"δαιμόνιον, -ου, τό ",demon,63,0.05
255,ἔξω ,"out, outside",63,0.05
256,ἐρωτάω ,to ask,63,0.05
257,"γραμματεύς, -έως, ὁ ",scribe (Jewish legal expert),63,0.05
258,"ὄρος, -ους, τό ","mountain, hill",63,0.05
259,δοκέω ,"to think, suppose, seem",62,0.04
260,"Ἱεροσόλυμα, τό ",Jerusalem,62,0.04
261,"θέλημα, -τος, τό ","wish, will",62,0.04
262,"θρόνος, -ου, ὁ ",throne,62,0.04
263,"ἀγαπητός, -ή, -όν ",beloved,61,0.04
264,δοξάζω ,to glorify,61,0.04
265,"Γαλιλαία, -ας, ἡ ",Galilee,61,0.04
266,ἤδη ,already,61,0.04
267,"κακός, -ή, -όν ","bad, evil",61,0.04
268,κηρύσσω ,"to proclaim, preach",61,0.04
269,"νύξ, -νυκτός, ἡ ",night,61,0.04
270,ὧδε ,here,61,0.04
271,"ἱμάτιον, -ου, τό ","garment, clothing, cloak",60,0.04
272,προσκυνέω ,to worship,60,0.04
273,ὑπάρχω,to be,60,0.04
274,ἀσπάζομαι ,"to greet, welcome",59,0.04
275,"χαρά, -ᾶς, ἡ ",joy,59,0.04
276,"Δαυίδ, ὁ ",David,59,0.04
277,"διδάσκαλος, -ου, ὁ ",teacher,59,0.04
278,"εὐθύς, -εῖα, -ύ ",immediately,59,0.04
279,"λίθος, -ου, ὁ ",stone,59,0.04
280,συνάγω ,to gather,59,0.04
281,"μέσος, -η, -ον ","middle, midst",58,0.04
282,θεωρέω,"to see, watch, observe",58,0.04
283,"τοιοῦτος, -αύτη, -οῦτον","such, of such kind",57,0.04
284,δέχομαι,"to receive, accept, take",56,0.04
285,ἐπερωτάω ,"to ask, ask for",56,0.04
286,μηδέ,"nor, and not",56,0.04
287,"συναγωγή, -ῆς, ἡ ","synagogue, assembly",56,0.04
288,"τρίτος, -η, -ον ",third,56,0.04
289,"ἀρχή, -ῆς, ἡ ","beginning, origin, ruler",55,0.04
290,κράζω,to cry out,55,0.04
291,"λοιπός, -ή, -όν ","rest, remaining (adj)",55,0.04
292,"Πιλᾶτος, -ου, ὁ ",Pilate,55,0.04
293,"χρόνος, -ου, ὁ ",time,54,0.04
294,"δεξιός, -ά, -όν ",right (in contrast to left),54,0.04
295,εὐαγγελίζω ,to bring / preach good news,54,0.04
296,"Μαρία, -ας ",Mary,54,0.04
297,οὐχί,"no, not",54,0.04
298,διό ,therefore,53,0.04
299,"ἐλπίς, -ίδος, ἡ ",hope,53,0.04
300,ὅπως ,"in order that, that",53,0.04
301,"ἔσχατος, -η, -ον ",last,52,0.04
302,"ἐπαγγελία, -ας, ἡ ",promise,52,0.04
303,"παιδίον, -ου, τό ","(little) child, infant",52,0.04
304,πείθω ,"to persuade, convince; (pass) obey, trust",52,0.04
305,σπείρω ,to sow,52,0.04
306,"σοφία, -ας, ἡ ",wisdom,51,0.04
307,"γλῶσσα, -ης, ἡ ","tongue, language",50,0.04
308,"γραφή, -ῆς, ἡ ","Scripture, writing",50,0.04
309,"μακάριος, -α, -ον ","blessed, favored, fortunate, happy",50,0.04
310,"παραβολή, -ῆς, ἡ ",parable,50,0.04
311,"τυφλός, -ή, -όν ",blind,50,0.04
